task,function_name,train_accuracy,test_accuracy
binary,sum_vectors,0.9999331488240878,0.5291063829787234
binary,prod,0.9999197785889054,0.5405106382978724
binary,diff,0.9999598892944527,0.6056170212765958
binary,squared_sum,0.9999331488240878,0.5380425531914894
binary,squared_diff,0.9999197785889054,0.5577872340425531
binary,sum_squares,0.9998395571778108,0.5292765957446809
binary,diff_squares,0.9987699383632158,0.5845957446808511
binary,final_model,0.9999732595296351,0.5368510638297872
multiclass,sum_vectors,0.4364867785863535,0.19936051159072743
multiclass,prod,0.9792492254485193,0.2257394084732214
multiclass,diff,0.956601099983188,0.26778577138289367
multiclass,squared_sum,0.725028220092706,0.2193445243804956
multiclass,squared_diff,0.9893844417225064,0.19696243005595523
multiclass,sum_squares,0.5405768907462113,0.21806554756195043
multiclass,diff_squares,0.7213536037658813,0.26410871302957634
multiclass,final_model,0.9938756394552921,0.20367705835331734
